Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating,Avg_Sales_per_Outlet,Years_Since_Establishment,Visibility_per_Weight,Sales_per_Outlet_Type,Visibility_x_ItemType,Weight_x_ItemType,Rating_x_Visibility
Regular,FDX32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1000135,15.1,145.4786,5.0,140.29769870967743,13,0.006623410596026491,141.21389506903353,0.01445695553208964,2.182705620086824,0.5000675
Low Fat,NCB42,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.008596051,11.8,115.3492,5.0,141.67863836206897,3,0.0007284788983050847,141.67863836206897,0.0005244569423911768,0.7199342954358794,0.042980255
Regular,FDR28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.025896485,13.85,165.021,5.0,142.05738688172042,9,0.001869782310469314,141.21389506903353,0.0026008906676053033,1.39101255426493,0.129482425
Regular,FDL50,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.042277867,12.15,126.5046,5.0,141.4259824034335,11,0.003479659835390946,141.21389506903353,0.0032193283682975474,0.9251847940865892,0.21138933499999998
Low Fat,DRI25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033970195,19.6,55.1614,5.0,140.95024779332616,10,0.0017331732142857144,141.21389506903353,0.0017736403584418634,1.0233485861785758,0.16985097500000002
Low Fat,FDS52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005505481,8.89,102.4016,5.0,139.42112354211662,5,0.0006192892013498312,141.21389506903353,0.0005529381363369705,0.8928593218350347,0.027527404999999998
Low Fat,NCU05,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,0.098312421,11.8,81.4618,5.0,140.77759747747749,14,0.008331561101694914,140.29468975069253,0.005998176571629707,0.7199342954358794,0.49156210499999997
Low Fat,NCD30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.026903714,19.7,96.0726,5.0,140.95024779332616,10,0.0013656707614213197,141.21389506903353,0.0028725073025929835,2.103367358911181,0.13451857
Low Fat,FDW20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.024129332,20.75,124.173,5.0,141.4259824034335,11,0.0011628593734939758,141.21389506903353,0.003487895931479526,2.9994133521060657,0.12064666
Low Fat,FDX25,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.101561568,,181.9292,5.0,139.80179101604278,7,,139.80179101604278,0.007733598220344949,,0.50780784
